metrica,numero_semillas_completas,estadistico_friedman,p_friedman
spl,200,65.86609071274319,1.6903746342045447e-13
tiempo_simulado_s,200,278.6659954694184,4.321233550147813e-59
longitud_trayectoria_m,200,123.84400000000005,8.061569639599415e-26
distancia_final_meta_m,200,132.4000000000001,1.1941931372359867e-27
clearance_dinamico_minimo_m,200,231.91297824456115,5.1140027377562446e-49
clearance_total_percentil_5_m,200,88.12400000000025,3.2955431438652563e-18
eventos_casi_colision_real,200,79.8901098901097,1.8377418959492738e-16
tiempo_en_casi_colision_s,200,66.40235988200571,1.30302230031833e-13
ttc_real_minimo_s,181,201.84928716904298,1.504053915695681e-42
aceleracion_angular_rms_rad_s2,200,660.6320000000005,1.1636605870387522e-141
jerk_angular_rms_rad_s3,200,537.1000000000004,6.322025176905084e-115
esfuerzo_control_medio,200,412.74800000000005,4.8940104965277364e-88
tiempo_ciclo_medio_ms,200,797.6360000000004,2.4969259257160786e-171
