semilla,numero_metodos,escenarios_identicos,dinamicos_iniciales_identicos,verificacion_correcta
170000,5,1,1,1
170001,5,1,1,1
170002,5,1,1,1
170003,5,1,1,1
170004,5,1,1,1
170005,5,1,1,1
170006,5,1,1,1
170007,5,1,1,1
170008,5,1,1,1
170009,5,1,1,1
170010,5,1,1,1
170011,5,1,1,1
170012,5,1,1,1
170013,5,1,1,1
170014,5,1,1,1
170015,5,1,1,1
170016,5,1,1,1
170017,5,1,1,1
170018,5,1,1,1
170019,5,1,1,1
170020,5,1,1,1
170021,5,1,1,1
170022,5,1,1,1
170023,5,1,1,1
170024,5,1,1,1
170025,5,1,1,1
170026,5,1,1,1
170027,5,1,1,1
170028,5,1,1,1
170029,5,1,1,1
170030,5,1,1,1
170031,5,1,1,1
170032,5,1,1,1
170033,5,1,1,1
170034,5,1,1,1
170035,5,1,1,1
170036,5,1,1,1
170037,5,1,1,1
170038,5,1,1,1
170039,5,1,1,1
170040,5,1,1,1
170041,5,1,1,1
170042,5,1,1,1
170043,5,1,1,1
170044,5,1,1,1
170045,5,1,1,1
170046,5,1,1,1
170047,5,1,1,1
170048,5,1,1,1
170049,5,1,1,1
170050,5,1,1,1
170051,5,1,1,1
170052,5,1,1,1
170053,5,1,1,1
170054,5,1,1,1
170055,5,1,1,1
170056,5,1,1,1
170057,5,1,1,1
170058,5,1,1,1
170059,5,1,1,1
170060,5,1,1,1
170061,5,1,1,1
170062,5,1,1,1
170063,5,1,1,1
170064,5,1,1,1
170065,5,1,1,1
170066,5,1,1,1
170067,5,1,1,1
170068,5,1,1,1
170069,5,1,1,1
170070,5,1,1,1
170071,5,1,1,1
170072,5,1,1,1
170073,5,1,1,1
170074,5,1,1,1
170075,5,1,1,1
170076,5,1,1,1
170077,5,1,1,1
170078,5,1,1,1
170079,5,1,1,1
170080,5,1,1,1
170081,5,1,1,1
170082,5,1,1,1
170083,5,1,1,1
170084,5,1,1,1
170085,5,1,1,1
170086,5,1,1,1
170087,5,1,1,1
170088,5,1,1,1
170089,5,1,1,1
170090,5,1,1,1
170091,5,1,1,1
170092,5,1,1,1
170093,5,1,1,1
170094,5,1,1,1
170095,5,1,1,1
170096,5,1,1,1
170097,5,1,1,1
170098,5,1,1,1
170099,5,1,1,1
170100,5,1,1,1
170101,5,1,1,1
170102,5,1,1,1
170103,5,1,1,1
170104,5,1,1,1
170105,5,1,1,1
170106,5,1,1,1
170107,5,1,1,1
170108,5,1,1,1
170109,5,1,1,1
170110,5,1,1,1
170111,5,1,1,1
170112,5,1,1,1
170113,5,1,1,1
170114,5,1,1,1
170115,5,1,1,1
170116,5,1,1,1
170117,5,1,1,1
170118,5,1,1,1
170119,5,1,1,1
170120,5,1,1,1
170121,5,1,1,1
170122,5,1,1,1
170123,5,1,1,1
170124,5,1,1,1
170125,5,1,1,1
170126,5,1,1,1
170127,5,1,1,1
170128,5,1,1,1
170129,5,1,1,1
170130,5,1,1,1
170131,5,1,1,1
170132,5,1,1,1
170133,5,1,1,1
170134,5,1,1,1
170135,5,1,1,1
170136,5,1,1,1
170137,5,1,1,1
170138,5,1,1,1
170139,5,1,1,1
170140,5,1,1,1
170141,5,1,1,1
170142,5,1,1,1
170143,5,1,1,1
170144,5,1,1,1
170145,5,1,1,1
170146,5,1,1,1
170147,5,1,1,1
170148,5,1,1,1
170149,5,1,1,1
170150,5,1,1,1
170151,5,1,1,1
170152,5,1,1,1
170153,5,1,1,1
170154,5,1,1,1
170155,5,1,1,1
170156,5,1,1,1
170157,5,1,1,1
170158,5,1,1,1
170159,5,1,1,1
170160,5,1,1,1
170161,5,1,1,1
170162,5,1,1,1
170163,5,1,1,1
170164,5,1,1,1
170165,5,1,1,1
170166,5,1,1,1
170167,5,1,1,1
170168,5,1,1,1
170169,5,1,1,1
170170,5,1,1,1
170171,5,1,1,1
170172,5,1,1,1
170173,5,1,1,1
170174,5,1,1,1
170175,5,1,1,1
170176,5,1,1,1
170177,5,1,1,1
170178,5,1,1,1
170179,5,1,1,1
170180,5,1,1,1
170181,5,1,1,1
170182,5,1,1,1
170183,5,1,1,1
170184,5,1,1,1
170185,5,1,1,1
170186,5,1,1,1
170187,5,1,1,1
170188,5,1,1,1
170189,5,1,1,1
170190,5,1,1,1
170191,5,1,1,1
170192,5,1,1,1
170193,5,1,1,1
170194,5,1,1,1
170195,5,1,1,1
170196,5,1,1,1
170197,5,1,1,1
170198,5,1,1,1
170199,5,1,1,1
