episodio,tasa_exito,tasa_colision_dinamica,tasa_colision_estatica,tasa_fuera_mapa,tasa_timeout,recompensa_media,distancia_final_media,clearance_minimo_promedio_exitos,numero_metas,numero_colisiones_dinamicas,numero_colisiones_estaticas,numero_fuera_mapa,numero_timeout,nuevo_mejor,criterio_1_exito,criterio_2_timeout,criterio_3_colision_dinamica,criterio_4_colision_estatica,criterio_5_fuera_mapa,criterio_6_distancia_final,criterio_7_clearance
20,0.8,0.18,0.0,0.0,0.02,176.38209311185165,1.330867371220203,0.3888336870026968,40,9,0,0,1,1,0.8,-0.02,-0.18,-0.0,-0.0,-1.330867371220203,0.3888336870026968
40,0.8,0.18,0.0,0.0,0.02,176.38209311185165,1.330867371220203,0.3888336870026968,40,9,0,0,1,0,0.8,-0.02,-0.18,-0.0,-0.0,-1.330867371220203,0.3888336870026968
60,0.8,0.18,0.0,0.0,0.02,176.38209311185165,1.330867371220203,0.3888336870026968,40,9,0,0,1,0,0.8,-0.02,-0.18,-0.0,-0.0,-1.330867371220203,0.3888336870026968
80,0.7,0.14,0.02,0.0,0.14,114.15983430545913,1.0815897126466048,0.3254521117832457,35,7,1,0,7,0,0.7,-0.14,-0.14,-0.02,-0.0,-1.0815897126466048,0.3254521117832457
100,0.9,0.08,0.0,0.0,0.02,227.02042359914245,1.033685204927118,0.32970860163182697,45,4,0,0,1,1,0.9,-0.02,-0.08,-0.0,-0.0,-1.033685204927118,0.32970860163182697
120,0.84,0.08,0.04,0.0,0.04,194.22371116061132,1.055412989207194,0.3261368361426461,42,4,2,0,2,0,0.84,-0.04,-0.08,-0.04,-0.0,-1.055412989207194,0.3261368361426461
140,0.82,0.08,0.04,0.0,0.06,166.86684092740978,1.241441016419893,0.34816590979824,41,4,2,0,3,0,0.82,-0.06,-0.08,-0.04,-0.0,-1.241441016419893,0.34816590979824
160,0.88,0.06,0.04,0.0,0.02,203.84999987355224,1.0607884711317825,0.3302015565762174,44,3,2,0,1,0,0.88,-0.02,-0.06,-0.04,-0.0,-1.0607884711317825,0.3302015565762174
180,0.86,0.08,0.04,0.0,0.02,188.70792460033542,1.3035079638294764,0.31373163372182006,43,4,2,0,1,0,0.86,-0.02,-0.08,-0.04,-0.0,-1.3035079638294764,0.31373163372182006
200,0.9,0.04,0.02,0.02,0.02,214.1456364976561,0.9920253628512542,0.28967067930344575,45,2,1,1,1,1,0.9,-0.02,-0.04,-0.02,-0.02,-0.9920253628512542,0.28967067930344575
220,0.8,0.1,0.08,0.0,0.02,191.57286515990313,1.4641998566871552,0.32185925605205473,40,5,4,0,1,0,0.8,-0.02,-0.1,-0.08,-0.0,-1.4641998566871552,0.32185925605205473
240,0.9,0.08,0.02,0.0,0.0,231.50615895714375,0.8965794935710053,0.29109105039875144,45,4,1,0,0,1,0.9,-0.0,-0.08,-0.02,-0.0,-0.8965794935710053,0.29109105039875144
260,0.88,0.06,0.02,0.0,0.04,223.11288070394158,0.9555217467295164,0.34330372219891686,44,3,1,0,2,0,0.88,-0.04,-0.06,-0.02,-0.0,-0.9555217467295164,0.34330372219891686
280,0.88,0.06,0.0,0.0,0.06,229.71331814808175,0.962568388574009,0.3262207727653045,44,3,0,0,3,0,0.88,-0.06,-0.06,-0.0,-0.0,-0.962568388574009,0.3262207727653045
300,0.76,0.08,0.08,0.0,0.08,195.3690912710889,1.2473670927938738,0.34409026381628754,38,4,4,0,4,0,0.76,-0.08,-0.08,-0.08,-0.0,-1.2473670927938738,0.34409026381628754
320,0.84,0.08,0.04,0.0,0.04,227.43931914442928,1.0384752503750156,0.35424955743740444,42,4,2,0,2,0,0.84,-0.04,-0.08,-0.04,-0.0,-1.0384752503750156,0.35424955743740444
340,0.88,0.08,0.04,0.0,0.0,238.78197724216136,1.1294349714949765,0.388655443829422,44,4,2,0,0,0,0.88,-0.0,-0.08,-0.04,-0.0,-1.1294349714949765,0.388655443829422
360,0.86,0.08,0.02,0.02,0.02,241.6327798608784,1.0713329206266529,0.3555674161435805,43,4,1,1,1,0,0.86,-0.02,-0.08,-0.02,-0.02,-1.0713329206266529,0.3555674161435805
380,0.88,0.1,0.02,0.0,0.0,235.96607411912564,0.8950224939143743,0.32668019200768456,44,5,1,0,0,0,0.88,-0.0,-0.1,-0.02,-0.0,-0.8950224939143743,0.32668019200768456
400,0.9,0.1,0.0,0.0,0.0,241.9856834834372,0.9643956450479372,0.29588912500117076,45,5,0,0,0,0,0.9,-0.0,-0.1,-0.0,-0.0,-0.9643956450479372,0.29588912500117076
